CustomerID,Risk_Score,Risk_Category
2982-VPSGI,93.86,Critical (86-100%)
8740-CRYFY,93.84,Critical (86-100%)
2514-GINMM,93.84,Critical (86-100%)
5960-WPXQM,93.84,Critical (86-100%)
1761-AEZZR,93.84,Critical (86-100%)
8058-INTPH,93.84,Critical (86-100%)
6474-FVJLC,93.82,Critical (86-100%)
7693-LCKZL,93.81,Critical (86-100%)
5919-TMRGD,93.8,Critical (86-100%)
4952-YSOGZ,93.77,Critical (86-100%)
7180-PISOG,93.75,Critical (86-100%)
9546-CQJSU,93.75,Critical (86-100%)
7274-RTAPZ,93.67,Critical (86-100%)
2545-EBUPK,93.66,Critical (86-100%)
8593-WHYHV,93.63,Critical (86-100%)
9300-RENDD,93.55,Critical (86-100%)
8098-LLAZX,93.42,Critical (86-100%)
2725-KXXWT,93.34,Critical (86-100%)
0196-VULGZ,93.27,Critical (86-100%)
7493-TPUWZ,93.22,Critical (86-100%)
4102-OQUPX,93.21,Critical (86-100%)
4143-OOBWZ,93.19,Critical (86-100%)
6457-USBER,93.15,Critical (86-100%)
5494-HECPR,93.14,Critical (86-100%)
0488-GSLFR,93.13,Critical (86-100%)
9399-APLBT,93.13,Critical (86-100%)
4228-ZGYUW,93.11,Critical (86-100%)
4550-EVXNY,93.1,Critical (86-100%)
0697-ZMSWS,93.08,Critical (86-100%)
5054-IEXZT,93.04,Critical (86-100%)
6457-GIRWB,93.02,Critical (86-100%)
3428-XZMAZ,93.02,Critical (86-100%)
1569-TTNYJ,93.01,Critical (86-100%)
7254-IQWOZ,92.96,Critical (86-100%)
0723-DRCLG,92.96,Critical (86-100%)
6502-MJQAE,92.96,Critical (86-100%)
7665-TOALD,92.96,Critical (86-100%)
6358-LYNGM,92.95,Critical (86-100%)
2462-XIIJB,92.95,Critical (86-100%)
1157-BQCUW,92.95,Critical (86-100%)
8062-YBDOE,92.94,Critical (86-100%)
4871-JTKJF,92.94,Critical (86-100%)
5539-TMZLF,92.94,Critical (86-100%)
8375-DKEBR,92.94,Critical (86-100%)
2636-ALXXZ,92.94,Critical (86-100%)
5196-SGOAK,92.88,Critical (86-100%)
8972-HJWNV,92.88,Critical (86-100%)
4415-IJZTP,92.86,Critical (86-100%)
8382-SHQEH,92.83,Critical (86-100%)
8372-JUXUI,92.8,Critical (86-100%)
9725-SCPZG,92.78,Critical (86-100%)
5542-TBBWB,92.76,Critical (86-100%)
5875-YPQFJ,92.76,Critical (86-100%)
9804-ICWBG,92.76,Critical (86-100%)
5134-IKDAY,92.75,Critical (86-100%)
7330-WZLNC,92.72,Critical (86-100%)
4510-HIMLV,92.69,Critical (86-100%)
4603-JANFB,92.69,Critical (86-100%)
9728-FTTVZ,92.68,Critical (86-100%)
7660-HDPJV,92.68,Critical (86-100%)
6567-HOOPW,92.67,Critical (86-100%)
8580-AECUZ,92.67,Critical (86-100%)
5150-ITWWB,92.63,Critical (86-100%)
5550-VFRLC,92.6,Critical (86-100%)
0259-GBZSH,92.58,Critical (86-100%)
9787-XVQIU,92.56,Critical (86-100%)
4695-WJZUE,92.56,Critical (86-100%)
1925-TIBLE,92.53,Critical (86-100%)
8622-ZLFKO,92.51,Critical (86-100%)
2660-EMUBI,92.47,Critical (86-100%)
5383-MMTWC,92.46,Critical (86-100%)
4951-UKAAQ,92.46,Critical (86-100%)
0195-IESCP,92.46,Critical (86-100%)
3727-RJMEO,92.44,Critical (86-100%)
4750-ZRXIU,92.41,Critical (86-100%)
9451-LPGOO,92.38,Critical (86-100%)
5277-ZLOOR,92.37,Critical (86-100%)
3765-JXVKY,92.37,Critical (86-100%)
6416-TVAIH,92.34,Critical (86-100%)
5834-ASPWA,92.28,Critical (86-100%)
1820-TQVEV,92.28,Critical (86-100%)
1447-GIQMR,92.24,Critical (86-100%)
5240-IJOQT,92.2,Critical (86-100%)
2004-OCQXK,92.12,Critical (86-100%)
6996-KNSML,92.12,Critical (86-100%)
9025-AOMKI,92.08,Critical (86-100%)
3551-HUAZH,92.02,Critical (86-100%)
0318-QUUOB,92.01,Critical (86-100%)
4614-NUVZD,92.0,Critical (86-100%)
3027-ZTDHO,91.99,Critical (86-100%)
1833-VGRUM,91.95,Critical (86-100%)
0970-ETWGE,91.91,Critical (86-100%)
7206-GZCDC,91.9,Critical (86-100%)
8931-GJJIQ,91.9,Critical (86-100%)
6630-UJZMY,91.9,Critical (86-100%)
8945-GRKHX,91.89,Critical (86-100%)
7503-ZGUZJ,91.84,Critical (86-100%)
7314-OXENN,91.84,Critical (86-100%)
1853-UDXBW,91.79,Critical (86-100%)
5393-RXQSZ,91.78,Critical (86-100%)
4806-HIPDW,91.71,Critical (86-100%)
3988-RQIXO,91.71,Critical (86-100%)
7439-DKZTW,91.7,Critical (86-100%)
1579-KLYDT,91.69,Critical (86-100%)
4912-PIGUY,91.68,Critical (86-100%)
1448-PWKYE,91.68,Critical (86-100%)
0334-GDDSO,91.68,Critical (86-100%)
7488-MXJIV,91.67,Critical (86-100%)
1285-OKIPP,91.64,Critical (86-100%)
1624-NALOJ,91.59,Critical (86-100%)
0841-NULXI,91.56,Critical (86-100%)
3091-FYHKI,91.56,Critical (86-100%)
5275-SQEIZ,91.54,Critical (86-100%)
4988-IQIGL,91.53,Critical (86-100%)
3722-WPXTK,91.53,Critical (86-100%)
5597-GLBUC,91.52,Critical (86-100%)
6513-EECDB,91.49,Critical (86-100%)
5229-PRWKT,91.48,Critical (86-100%)
3716-BDVDB,91.46,Critical (86-100%)
4548-SDBKE,91.4,Critical (86-100%)
3387-VATUS,91.38,Critical (86-100%)
4274-OWWYO,91.32,Critical (86-100%)
6894-LFHLY,91.31,Critical (86-100%)
2202-CUYXZ,91.31,Critical (86-100%)
3489-HHPFY,91.3,Critical (86-100%)
3198-VELRD,91.29,Critical (86-100%)
5380-AFSSK,91.29,Critical (86-100%)
0655-RBDUG,91.27,Critical (86-100%)
7526-BEZQB,91.24,Critical (86-100%)
5519-NPHVG,91.24,Critical (86-100%)
2952-QAYZF,91.21,Critical (86-100%)
8816-VXNZD,91.2,Critical (86-100%)
1452-VOQCH,91.2,Critical (86-100%)
0328-GRPMV,91.19,Critical (86-100%)
4702-IOQDC,91.19,Critical (86-100%)
8000-REIQB,91.14,Critical (86-100%)
7341-LXCAF,91.1,Critical (86-100%)
8473-VUVJN,91.09,Critical (86-100%)
7074-IEVOJ,91.07,Critical (86-100%)
9965-YOKZB,91.05,Critical (86-100%)
3422-LYEPQ,91.02,Critical (86-100%)
8739-XNIKG,91.01,Critical (86-100%)
3643-AHCFP,90.99,Critical (86-100%)
2506-TNFCO,90.96,Critical (86-100%)
3494-JCHRQ,90.95,Critical (86-100%)
6653-CBBOM,90.93,Critical (86-100%)
7294-TMAOP,90.93,Critical (86-100%)
2446-PLQVO,90.93,Critical (86-100%)
1455-ESIQH,90.92,Critical (86-100%)
6618-RYATB,90.91,Critical (86-100%)
1031-IIDEO,90.9,Critical (86-100%)
8168-UQWWF,90.86,Critical (86-100%)
4795-KTRTH,90.85,Critical (86-100%)
7779-LGOVN,90.8,Critical (86-100%)
0679-IDSTG,90.77,Critical (86-100%)
8780-IXSTS,90.75,Critical (86-100%)
2642-DTVCO,90.75,Critical (86-100%)
1273-MTETI,90.75,Critical (86-100%)
7249-WBIYX,90.74,Critical (86-100%)
8058-JMEQO,90.7,Critical (86-100%)
5797-APWZC,90.68,Critical (86-100%)
2867-UIMSS,90.64,Critical (86-100%)
7465-ZZRVX,90.59,Critical (86-100%)
3244-DCJWY,90.56,Critical (86-100%)
1640-PLFMP,90.56,Critical (86-100%)
3276-HDUEG,90.49,Critical (86-100%)
3707-GNWHM,90.45,Critical (86-100%)
1628-BIZYP,90.44,Critical (86-100%)
1977-STDKI,90.4,Critical (86-100%)
2034-GDRCN,90.38,Critical (86-100%)
7450-NWRTR,90.3,Critical (86-100%)
2619-WFQWU,90.27,Critical (86-100%)
9985-MWVIX,90.27,Critical (86-100%)
5376-DEQCP,90.21,Critical (86-100%)
2018-QKYGT,90.17,Critical (86-100%)
1062-LHZOD,90.14,Critical (86-100%)
3746-EUBYR,90.12,Critical (86-100%)
3422-GALYP,90.07,Critical (86-100%)
2865-TCHJW,90.05,Critical (86-100%)
9306-CPCBC,90.05,Critical (86-100%)
0404-SWRVG,90.05,Critical (86-100%)
4090-KPJIP,90.02,Critical (86-100%)
0219-YTZUE,89.96,Critical (86-100%)
2777-PHDEI,89.96,Critical (86-100%)
7577-SWIFR,89.94,Critical (86-100%)
6372-RFVNS,89.85,Critical (86-100%)
0742-NXBGR,89.78,Critical (86-100%)
0968-GSIKN,89.77,Critical (86-100%)
8083-YTZES,89.75,Critical (86-100%)
7908-QCBCA,89.75,Critical (86-100%)
9019-QVLZD,89.73,Critical (86-100%)
6979-ZNSFF,89.71,Critical (86-100%)
1363-TXLSL,89.69,Critical (86-100%)
0515-YPMCW,89.66,Critical (86-100%)
3902-FOIGH,89.66,Critical (86-100%)
2205-YMZZJ,89.66,Critical (86-100%)
1320-HTRDR,89.47,Critical (86-100%)
3006-XIMLN,89.42,Critical (86-100%)
7548-SEPYI,89.41,Critical (86-100%)
0137-OCGAB,89.4,Critical (86-100%)
1618-CFHME,89.39,Critical (86-100%)
4110-PFEUZ,89.36,Critical (86-100%)
1304-NECVQ,89.36,Critical (86-100%)
5884-GCYMI,89.36,Critical (86-100%)
1941-HOSAM,89.36,Critical (86-100%)
9248-OJYKK,89.35,Critical (86-100%)
8042-JVNFH,89.34,Critical (86-100%)
8380-PEFPE,89.33,Critical (86-100%)
2672-HUYVI,89.32,Critical (86-100%)
8337-UPOAQ,89.28,Critical (86-100%)
2454-RPBRZ,89.27,Critical (86-100%)
9897-KXHCM,89.24,Critical (86-100%)
2612-RANWT,89.23,Critical (86-100%)
3519-ZKXGG,89.2,Critical (86-100%)
0822-GAVAP,89.14,Critical (86-100%)
8051-HJRLT,89.14,Critical (86-100%)
1086-LXKFY,89.13,Critical (86-100%)
4445-ZJNMU,89.11,Critical (86-100%)
3462-BJQQA,89.1,Critical (86-100%)
9611-CTWIH,89.05,Critical (86-100%)
1567-DSCIC,88.95,Critical (86-100%)
0754-UKWQP,88.83,Critical (86-100%)
4844-JJWUY,88.8,Critical (86-100%)
9334-GWGOW,88.79,Critical (86-100%)
4229-CZMLL,88.73,Critical (86-100%)
3066-RRJIO,88.7,Critical (86-100%)
0021-IKXGC,88.7,Critical (86-100%)
6230-BSUXY,88.68,Critical (86-100%)
7409-KIUTL,88.68,Critical (86-100%)
6140-QNRQQ,88.65,Critical (86-100%)
0122-OAHPZ,88.64,Critical (86-100%)
1415-YFWLT,88.64,Critical (86-100%)
7817-BOQPW,88.62,Critical (86-100%)
4581-SSPWD,88.6,Critical (86-100%)
5956-VKDTT,88.6,Critical (86-100%)
2691-NZETQ,88.59,Critical (86-100%)
2990-HWIML,88.59,Critical (86-100%)
9488-HGMJH,88.49,Critical (86-100%)
0519-XUZJU,88.42,Critical (86-100%)
2485-ITVKB,88.42,Critical (86-100%)
6711-FLDFB,88.41,Critical (86-100%)
5299-SJCZT,88.34,Critical (86-100%)
4285-GYRQC,88.3,Critical (86-100%)
3318-NMQXL,88.29,Critical (86-100%)
5378-IKEEG,88.26,Critical (86-100%)
6969-MVBAI,88.25,Critical (86-100%)
8348-HFYIV,88.24,Critical (86-100%)
3776-EKTKM,88.22,Critical (86-100%)
5299-RULOA,88.15,Critical (86-100%)
3049-NDXFL,88.15,Critical (86-100%)
2737-WFVYW,88.14,Critical (86-100%)
4273-MBHYA,88.13,Critical (86-100%)
7576-OYWBN,88.12,Critical (86-100%)
3834-XUIFC,88.12,Critical (86-100%)
2254-DLXRI,88.09,Critical (86-100%)
8086-OVPWV,88.07,Critical (86-100%)
1981-INRFU,88.05,Critical (86-100%)
1678-FYZOW,87.97,Critical (86-100%)
0375-HVGXO,87.96,Critical (86-100%)
6210-KBBPI,87.92,Critical (86-100%)
9603-OAIHC,87.91,Critical (86-100%)
8185-UPYBR,87.9,Critical (86-100%)
1768-ZAIFU,87.87,Critical (86-100%)
6137-NICCO,87.82,Critical (86-100%)
3191-CSNMG,87.78,Critical (86-100%)
9885-CSMWE,87.78,Critical (86-100%)
4234-XTNEA,87.74,Critical (86-100%)
2959-MJHIC,87.73,Critical (86-100%)
9837-BMCLM,87.7,Critical (86-100%)
7228-OMTPN,87.69,Critical (86-100%)
0151-ONTOV,87.66,Critical (86-100%)
1846-XWOQN,87.64,Critical (86-100%)
9828-AOQLM,87.63,Critical (86-100%)
5293-WXJAK,87.6,Critical (86-100%)
8992-JQYUN,87.58,Critical (86-100%)
5569-KGJHX,87.52,Critical (86-100%)
8752-STIVR,87.5,Critical (86-100%)
8779-QRDMV,87.48,Critical (86-100%)
3097-NQYSN,87.46,Critical (86-100%)
0023-HGHWL,87.45,Critical (86-100%)
3030-YDNRM,87.44,Critical (86-100%)
5095-AESKG,87.42,Critical (86-100%)
0680-DFNNY,87.41,Critical (86-100%)
0637-KVDLV,87.41,Critical (86-100%)
8644-XLFBW,87.39,Critical (86-100%)
5685-IIXLY,87.39,Critical (86-100%)
9172-ANCRX,87.36,Critical (86-100%)
4192-GORJT,87.33,Critical (86-100%)
9850-OWRHQ,87.33,Critical (86-100%)
9689-PTNPG,87.31,Critical (86-100%)
8541-QVFKM,87.3,Critical (86-100%)
7760-OYPDY,87.3,Critical (86-100%)
1122-JWTJW,87.25,Critical (86-100%)
9878-TNQGW,87.24,Critical (86-100%)
2215-ZAFGX,87.23,Critical (86-100%)
7479-NITWS,87.21,Critical (86-100%)
2609-IAICY,87.15,Critical (86-100%)
2982-IHMFT,87.14,Critical (86-100%)
4501-EQDRN,87.12,Critical (86-100%)
0722-TROQR,87.07,Critical (86-100%)
4529-CKBCL,86.99,Critical (86-100%)
7089-IVVAZ,86.86,Critical (86-100%)
2135-RXIHG,86.84,Critical (86-100%)
6128-CZOMY,86.84,Critical (86-100%)
1450-GALXR,86.82,Critical (86-100%)
0390-DCFDQ,86.8,Critical (86-100%)
6496-SLWHQ,86.77,Critical (86-100%)
4759-TRPLW,86.74,Critical (86-100%)
6328-ZPBGN,86.74,Critical (86-100%)
9605-WGJVW,86.73,Critical (86-100%)
5032-MIYKT,86.72,Critical (86-100%)
3878-AVSOQ,86.71,Critical (86-100%)
5445-UTODQ,86.7,Critical (86-100%)
2082-CEFLT,86.7,Critical (86-100%)
2645-QTLMB,86.69,Critical (86-100%)
4086-YQSNZ,86.65,Critical (86-100%)
7638-QVMVY,86.64,Critical (86-100%)
6357-JJPQT,86.56,Critical (86-100%)
6424-ELEYH,86.52,Critical (86-100%)
6786-OBWQR,86.51,Critical (86-100%)
3178-FESZO,86.51,Critical (86-100%)
5167-ZFFMM,86.46,Critical (86-100%)
9944-HKVVB,86.42,Critical (86-100%)
8821-XNHVZ,86.4,Critical (86-100%)
3398-FSHON,86.4,Critical (86-100%)
6437-UKHMV,86.4,Critical (86-100%)
9957-YODKZ,86.36,Critical (86-100%)
4806-KEXQR,86.35,Critical (86-100%)
1915-IOFGU,86.34,Critical (86-100%)
9223-UCPVT,86.3,Critical (86-100%)
3473-XIIIT,86.28,Critical (86-100%)
3106-ULWFW,86.27,Critical (86-100%)
6100-QQHEB,86.27,Critical (86-100%)
4210-QFJMF,86.26,Critical (86-100%)
0220-EBGCE,86.25,Critical (86-100%)
8357-EQXFO,86.22,Critical (86-100%)
8065-YKXKD,86.16,Critical (86-100%)
5077-DXTCG,86.15,Critical (86-100%)
5949-XIKAE,86.13,Critical (86-100%)
2789-HQBOU,86.1,Critical (86-100%)
6941-PMGEP,86.08,Critical (86-100%)
2430-USGXP,86.06,Critical (86-100%)
7363-QTBIW,85.99,Critical (86-100%)
2856-HYAPG,85.96,Critical (86-100%)
2672-DZUOY,85.93,Critical (86-100%)
6221-AVQYL,85.92,Critical (86-100%)
1084-UQCHV,85.9,Critical (86-100%)
4282-YMKNA,85.9,Critical (86-100%)
7153-OANIO,85.89,Critical (86-100%)
6161-UUUTA,85.83,Critical (86-100%)
4140-MUHUG,85.75,Critical (86-100%)
8808-ELEHO,85.75,Critical (86-100%)
6856-RAURS,85.74,Critical (86-100%)
4112-LUEIZ,85.73,Critical (86-100%)
2026-TGDHM,85.71,Critical (86-100%)
2612-RRIDN,85.69,Critical (86-100%)
1197-BVMVG,85.68,Critical (86-100%)
6702-OHFWR,85.68,Critical (86-100%)
7563-BIUPC,85.66,Critical (86-100%)
4713-LZDRV,85.61,Critical (86-100%)
3138-BKYAV,85.53,Critical (86-100%)
2371-JQHZZ,85.43,Critical (86-100%)
5583-SXDAG,85.43,Critical (86-100%)
3319-DWOEP,85.36,Critical (86-100%)
9507-EXLTT,85.36,Critical (86-100%)
9919-KNPOO,85.36,Critical (86-100%)
4585-HETAI,85.31,Critical (86-100%)
7242-QZLXF,85.3,Critical (86-100%)
2077-MPJQO,85.22,Critical (86-100%)
8414-MYSHR,85.19,Critical (86-100%)
9647-ERGBE,85.16,Critical (86-100%)
5570-PTWEH,85.1,Critical (86-100%)
1024-VRZHF,84.98,High (61-85%)
4910-AQFFX,84.94,High (61-85%)
1184-PJVDB,84.93,High (61-85%)
2379-ENZGV,84.93,High (61-85%)
7969-AULMZ,84.92,High (61-85%)
0812-WUPTB,84.84,High (61-85%)
3096-GKWEB,84.8,High (61-85%)
5955-ERIHD,84.8,High (61-85%)
1660-HSOOQ,84.78,High (61-85%)
7384-GHBPI,84.72,High (61-85%)
3801-HMYNL,84.71,High (61-85%)
0746-JTRFU,84.71,High (61-85%)
5940-AHUHD,84.71,High (61-85%)
7932-WPTDS,84.7,High (61-85%)
7120-RFMVS,84.66,High (61-85%)
8443-ZRDBZ,84.63,High (61-85%)
7079-QRCBC,84.62,High (61-85%)
5883-GTGVD,84.56,High (61-85%)
1724-BQUHA,84.55,High (61-85%)
1342-JPNKI,84.55,High (61-85%)
2626-URJFX,84.53,High (61-85%)
5673-FSSMF,84.47,High (61-85%)
3045-XETSH,84.46,High (61-85%)
0236-HFWSV,84.44,High (61-85%)
4184-TJFAN,84.43,High (61-85%)
6615-NGGZJ,84.37,High (61-85%)
0325-XBFAC,84.36,High (61-85%)
2024-BASKD,84.33,High (61-85%)
5186-SAMNZ,84.31,High (61-85%)
9444-JTXHZ,84.29,High (61-85%)
5382-SOYZL,84.28,High (61-85%)
1571-SAVHK,84.27,High (61-85%)
3737-GCSPV,84.25,High (61-85%)
4749-OJKQU,84.22,High (61-85%)
7295-JOMMD,84.18,High (61-85%)
5835-BEQEU,84.17,High (61-85%)
6393-WRYZE,84.16,High (61-85%)
5159-YFPKQ,84.16,High (61-85%)
8258-GSTJK,84.13,High (61-85%)
6015-VVHHE,84.1,High (61-85%)
9094-AZPHK,84.1,High (61-85%)
8280-MQRQN,83.93,High (61-85%)
2344-JMOGN,83.91,High (61-85%)
9185-TQCVP,83.88,High (61-85%)
3721-CNEYS,83.84,High (61-85%)
9134-CEQMF,83.83,High (61-85%)
1024-GUALD,83.83,High (61-85%)
5047-LHVLY,83.79,High (61-85%)
8835-VSDSE,83.78,High (61-85%)
0940-OUQEC,83.76,High (61-85%)
3389-YGYAI,83.73,High (61-85%)
4361-JEIVL,83.65,High (61-85%)
5520-FVEWJ,83.63,High (61-85%)
9231-ZJYAM,83.56,High (61-85%)
4817-QRJSX,83.53,High (61-85%)
3393-FMZPV,83.52,High (61-85%)
7994-UYIVZ,83.51,High (61-85%)
2154-KVJFF,83.51,High (61-85%)
2074-GKOWZ,83.5,High (61-85%)
0872-NXJYS,83.48,High (61-85%)
1867-BDVFH,83.45,High (61-85%)
2180-DXNEG,83.44,High (61-85%)
2276-YDAVZ,83.43,High (61-85%)
0709-TVGUR,83.42,High (61-85%)
2985-FMWYF,83.42,High (61-85%)
4822-NGOCH,83.41,High (61-85%)
6683-VLCTZ,83.41,High (61-85%)
9617-INGJY,83.41,High (61-85%)
1400-MMYXY,83.4,High (61-85%)
6857-VWJDT,83.36,High (61-85%)
1075-BGWOH,83.35,High (61-85%)
2929-ERCFZ,83.34,High (61-85%)
8111-RKSPX,83.34,High (61-85%)
9360-OMDZZ,83.34,High (61-85%)
3440-JPSCL,83.3,High (61-85%)
2265-CYWIV,83.29,High (61-85%)
6956-SMUCM,83.26,High (61-85%)
3750-CKVKH,83.22,High (61-85%)
2568-OIADY,83.15,High (61-85%)
4735-ASGMA,83.11,High (61-85%)
6000-APYLU,83.1,High (61-85%)
9734-YWGEX,83.08,High (61-85%)
5564-NEMQO,83.01,High (61-85%)
8183-ONMXC,82.97,High (61-85%)
5980-NOPLP,82.96,High (61-85%)
9717-QEBGU,82.95,High (61-85%)
9237-HQITU,82.95,High (61-85%)
0495-ZBNGW,82.87,High (61-85%)
0727-IWKVK,82.85,High (61-85%)
7005-CCBKV,82.82,High (61-85%)
3177-LASXD,82.81,High (61-85%)
7392-YYPYJ,82.8,High (61-85%)
2962-XPMCQ,82.76,High (61-85%)
0840-DFEZH,82.74,High (61-85%)
5889-LFOLL,82.69,High (61-85%)
4770-UEZOX,82.67,High (61-85%)
6086-ESGRL,82.65,High (61-85%)
2674-MIAHT,82.63,High (61-85%)
7379-POKDZ,82.61,High (61-85%)
3199-XGZCY,82.6,High (61-85%)
6910-HADCM,82.55,High (61-85%)
4547-KQRTM,82.54,High (61-85%)
5909-ECHUI,82.47,High (61-85%)
5896-NPFWW,82.46,High (61-85%)
7508-MYBOG,82.42,High (61-85%)
6860-YRJZP,82.41,High (61-85%)
0135-NMXAP,82.41,High (61-85%)
3871-IKPYH,82.41,High (61-85%)
6519-CFDBX,82.4,High (61-85%)
9061-TIHDA,82.38,High (61-85%)
8625-AZYZY,82.37,High (61-85%)
8397-MVTAZ,82.36,High (61-85%)
1173-XZPYF,82.34,High (61-85%)
4145-UQXUQ,82.27,High (61-85%)
2013-SGDXK,82.26,High (61-85%)
5357-TZHPP,82.26,High (61-85%)
8708-XPXHZ,82.25,High (61-85%)
4236-XPXAV,82.17,High (61-85%)
1496-GGSUK,82.14,High (61-85%)
0661-XEYAN,82.14,High (61-85%)
5868-YWPDW,82.1,High (61-85%)
7321-VGNKU,82.06,High (61-85%)
3797-VTIDR,82.05,High (61-85%)
2824-MYYBN,82.03,High (61-85%)
6608-QQLVK,82.03,High (61-85%)
4482-EWFMI,82.0,High (61-85%)
2472-OVKUP,81.99,High (61-85%)
0508-OOLTO,81.98,High (61-85%)
9809-IMGCQ,81.83,High (61-85%)
9921-ZVRHG,81.82,High (61-85%)
0396-YCHWO,81.82,High (61-85%)
1334-FJSVR,81.79,High (61-85%)
9734-UYXQI,81.79,High (61-85%)
5168-MSWXT,81.76,High (61-85%)
1965-AKTSX,81.74,High (61-85%)
1589-AGTLK,81.74,High (61-85%)
0772-GYEQQ,81.73,High (61-85%)
6877-TJMBR,81.72,High (61-85%)
5804-LEPIM,81.7,High (61-85%)
9102-IAYHT,81.68,High (61-85%)
2055-PDADH,81.67,High (61-85%)
4342-HENTK,81.66,High (61-85%)
3583-EKAPL,81.65,High (61-85%)
7209-JCUDS,81.59,High (61-85%)
9565-DJPIB,81.55,High (61-85%)
4021-RQSNY,81.55,High (61-85%)
4587-VVTOX,81.53,High (61-85%)
1077-HUUJM,81.52,High (61-85%)
9189-JWSHV,81.52,High (61-85%)
4289-DTDKW,81.46,High (61-85%)
6127-ISGTU,81.46,High (61-85%)
5565-FILXA,81.43,High (61-85%)
5976-JCJRH,81.41,High (61-85%)
2761-OCIAX,81.41,High (61-85%)
5940-NFXKV,81.39,High (61-85%)
2262-SLNVK,81.37,High (61-85%)
8878-HMWBV,81.35,High (61-85%)
8040-MNRTF,81.33,High (61-85%)
3621-CEOVK,81.33,High (61-85%)
0511-JTEOY,81.33,High (61-85%)
3677-IYRBF,81.29,High (61-85%)
5276-KQWHG,81.27,High (61-85%)
0880-TKATG,81.27,High (61-85%)
5501-TVMGM,81.23,High (61-85%)
8245-UMPYT,81.21,High (61-85%)
2754-SDJRD,81.21,High (61-85%)
0187-QSXOE,81.21,High (61-85%)
6229-LSCKB,81.2,High (61-85%)
7394-LWLYN,81.2,High (61-85%)
4597-NUCQV,81.19,High (61-85%)
2657-VPXTA,81.17,High (61-85%)
6116-RFVHN,81.16,High (61-85%)
4855-SNKMY,81.15,High (61-85%)
6168-WFVVF,81.14,High (61-85%)
5349-IECLD,81.13,High (61-85%)
8361-LTMKD,81.09,High (61-85%)
9253-QXKBE,81.09,High (61-85%)
6959-UWKHF,81.09,High (61-85%)
5399-ZIMKF,81.07,High (61-85%)
4817-VYYWS,81.05,High (61-85%)
6350-XFYGW,81.03,High (61-85%)
3296-SILRA,81.02,High (61-85%)
2897-DOVND,81.02,High (61-85%)
1960-UYCNN,81.01,High (61-85%)
6077-BDPXA,81.01,High (61-85%)
5366-IJEQJ,80.99,High (61-85%)
8873-GLDMH,80.96,High (61-85%)
8290-YWKHZ,80.95,High (61-85%)
7245-NIIWQ,80.94,High (61-85%)
0168-XZKBB,80.94,High (61-85%)
3793-MMFUH,80.93,High (61-85%)
2495-INZWQ,80.93,High (61-85%)
6088-BXMRG,80.91,High (61-85%)
2575-GFSOE,80.89,High (61-85%)
4074-SJFFA,80.89,High (61-85%)
5747-PMBSQ,80.87,High (61-85%)
